Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/20/20,AQS,60730001,2,16,ug/m3 SC,15,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
6/26/20,AQS,60730001,2,11,ug/m3 SC,10,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/2/20,AQS,60730001,2,21,ug/m3 SC,19,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/8/20,AQS,60730001,2,30,ug/m3 SC,28,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/14/20,AQS,60730001,2,20,ug/m3 SC,19,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/20/20,AQS,60730001,2,15,ug/m3 SC,14,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
7/26/20,AQS,60730001,2,16,ug/m3 SC,15,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/1/20,AQS,60730001,2,21,ug/m3 SC,19,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/7/20,AQS,60730001,2,20,ug/m3 SC,19,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
8/13/20,AQS,60730001,2,23,ug/m3 SC,21,Chula Vista,1,100,81102,PM10 Total 0-10um STP,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.631242,-117.059088
