State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/19/20,Parts per billion,None,22,92,1.363636,5,0,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/20/20,Parts per billion,None,22,92,3.045455,18,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/21/20,Parts per billion,None,22,92,2.181818,7,10,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/22/20,Parts per billion,None,24,100,5.791667,45,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/23/20,Parts per billion,None,24,100,10.416667,25,21,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/24/20,Parts per billion,None,24,100,9.375,41,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/25/20,Parts per billion,None,24,100,3.083333,14,10,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/26/20,Parts per billion,None,24,100,0.458333,2,10,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/27/20,Parts per billion,None,24,100,2.166667,6,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/28/20,Parts per billion,None,24,100,4.625,35,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/29/20,Parts per billion,None,24,100,4.416667,29,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/30/20,Parts per billion,None,20,83,5.85,28,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,1/31/20,Parts per billion,None,22,92,7.590909,32,20,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/1/20,Parts per billion,None,22,92,3.818182,27,9,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/2/20,Parts per billion,None,22,92,1.272727,10,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/3/20,Parts per billion,None,22,92,0.590909,2,11,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/4/20,Parts per billion,None,22,92,2.681818,11,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/5/20,Parts per billion,None,22,92,4.409091,32,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/6/20,Parts per billion,None,22,92,4.818182,30,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/7/20,Parts per billion,None,22,92,4.545455,20,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/8/20,Parts per billion,None,22,92,2.272727,17,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/9/20,Parts per billion,None,22,92,0.045455,1,14,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/10/20,Parts per billion,None,22,92,1.636364,9,22,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/11/20,Parts per billion,None,22,92,3,16,9,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/12/20,Parts per billion,None,22,92,5,22,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/13/20,Parts per billion,None,22,92,6.863636,21,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/14/20,Parts per billion,None,22,92,6.909091,22,4,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/15/20,Parts per billion,None,22,92,2.090909,7,6,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/16/20,Parts per billion,None,22,92,1.318182,7,8,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/17/20,Parts per billion,None,22,92,1.636364,9,9,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
6,73,1,42601,1,32.631242,-117.059088,NAD83,Nitric oxide (NO),1 HOUR,,2/18/20,Parts per billion,None,17,71,0.588235,4,7,,74,INSTRUMENTAL - CHEMILUMINESCENCE,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,"San Diego-Carlsbad, CA",4/18/21
