Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/17/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/18/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/19/20,AQS,60731022,1,0.3,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/20/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/21/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/22/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,19,79,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/23/20,AQS,60731022,1,0.4,ppb,0,El Cajon - Lexington Elementary School,18,75,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/24/20,AQS,60731022,1,0.4,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/25/20,AQS,60731022,1,0.3,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/26/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/27/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/29/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,18,75,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/30/20,AQS,60731022,1,0.4,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
1/31/20,AQS,60731022,1,0.4,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
2/1/20,AQS,60731022,1,0.3,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
2/2/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,21,88,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
2/3/20,AQS,60731022,1,0.1,ppb,0,El Cajon - Lexington Elementary School,20,83,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
2/4/20,AQS,60731022,1,0.2,ppb,0,El Cajon - Lexington Elementary School,18,75,42401,Sulfur dioxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
